iter	Passed	Remaining
0	63	62958
1	68	34296
2	74	24803
3	79	19914
4	84	16838
5	89	14802
6	94	13339
7	98	12227
8	103	11368
9	108	10710
10	112	10139
11	117	9669
12	122	9268
13	126	8926
14	131	8620
15	135	8358
16	140	8129
17	145	7923
18	150	7749
19	154	7582
20	159	7433
21	164	7296
22	168	7164
23	173	7049
24	178	6950
25	182	6850
26	187	6760
27	192	6670
28	196	6595
29	201	6518
30	206	6454
31	211	6388
32	215	6325
33	219	6237
34	224	6182
35	228	6130
36	233	6082
37	238	6034
38	243	5988
39	247	5944
40	252	5904
41	257	5864
42	261	5827
43	266	5795
44	271	5760
45	276	5725
46	281	5698
47	285	5667
48	290	5636
49	295	5605
50	299	5577
51	304	5551
52	309	5525
53	313	5500
54	318	5474
55	323	5454
56	328	5435
57	333	5411
58	338	5392
59	342	5369
60	347	5345
61	352	5326
62	356	5308
63	361	5290
64	366	5270
65	371	5250
66	375	5232
67	380	5213
68	385	5194
69	389	5177
70	394	5160
71	399	5142
72	403	5126
73	408	5111
74	413	5097
75	418	5083
76	422	5068
77	427	5056
78	432	5042
79	437	5028
80	441	5012
81	446	5000
82	451	4989
83	456	4978
84	461	4965
85	466	4952
86	470	4941
87	475	4927
88	480	4918
89	485	4905
90	490	4896
91	495	4886
92	499	4873
93	504	4862
94	509	4851
95	514	4841
96	518	4830
97	523	4819
98	528	4807
99	532	4795
100	537	4784
101	542	4774
102	546	4763
103	551	4752
104	556	4740
105	560	4731
106	565	4720
107	570	4709
108	574	4699
109	579	4688
110	584	4681
111	589	4670
112	594	4662
113	598	4653
114	603	4644
115	608	4635
116	612	4625
117	617	4617
118	622	4609
119	627	4601
120	632	4592
121	636	4582
122	639	4563
123	644	4555
124	649	4545
125	654	4537
126	659	4531
127	663	4522
128	668	4514
129	673	4505
130	677	4497
131	682	4488
132	687	4480
133	692	4472
134	696	4463
135	701	4455
136	706	4447
137	710	4440
138	715	4432
139	720	4423
140	724	4414
141	729	4405
142	733	4397
143	738	4390
144	743	4383
145	748	4376
146	752	4368
147	757	4362
148	762	4354
149	767	4349
150	772	4342
151	777	4335
152	781	4329
153	786	4322
154	791	4314
155	796	4307
156	800	4299
157	805	4292
158	810	4285
159	814	4277
160	819	4271
161	824	4264
162	829	4258
163	834	4251
164	838	4243
165	843	4236
166	847	4229
167	852	4222
168	857	4215
169	862	4209
170	867	4203
171	871	4196
172	876	4189
173	881	4182
174	885	4175
175	890	4168
176	894	4161
177	899	4154
178	904	4147
179	908	4140
180	913	4133
181	918	4126
182	922	4120
183	927	4113
184	932	4107
185	936	4100
186	941	4093
187	946	4087
188	951	4081
189	955	4075
190	960	4068
191	965	4061
192	969	4055
193	974	4049
194	979	4042
195	983	4035
196	988	4029
197	993	4022
198	997	4016
199	1002	4010
200	1007	4004
201	1012	3997
202	1016	3991
203	1021	3986
204	1026	3980
205	1031	3974
206	1035	3968
207	1040	3962
208	1045	3956
209	1050	3950
210	1054	3944
211	1059	3937
212	1064	3931
213	1068	3925
214	1073	3919
215	1078	3913
216	1082	3907
217	1087	3900
218	1092	3894
219	1096	3888
220	1101	3881
221	1105	3875
222	1110	3870
223	1115	3864
224	1120	3858
225	1124	3852
226	1129	3846
227	1134	3841
228	1139	3837
229	1144	3830
230	1149	3825
231	1154	3820
232	1159	3815
233	1163	3809
234	1168	3803
235	1173	3797
236	1177	3791
237	1182	3786
238	1187	3780
239	1191	3774
240	1196	3768
241	1201	3762
242	1206	3757
243	1210	3750
244	1215	3744
245	1219	3738
246	1224	3734
247	1229	3728
248	1234	3722
249	1239	3717
250	1243	3711
251	1248	3706
252	1253	3699
253	1257	3694
254	1262	3688
255	1267	3682
256	1272	3677
257	1276	3672
258	1281	3666
259	1286	3661
260	1291	3655
261	1295	3650
262	1300	3644
263	1305	3639
264	1310	3633
265	1314	3628
266	1319	3622
267	1324	3617
268	1329	3611
269	1333	3606
270	1338	3600
271	1343	3595
272	1348	3590
273	1353	3585
274	1357	3579
275	1362	3574
276	1367	3568
277	1372	3563
278	1377	3558
279	1381	3553
280	1386	3548
281	1391	3542
282	1396	3537
283	1400	3531
284	1406	3528
285	1411	3522
286	1415	3517
287	1420	3511
288	1425	3506
289	1429	3500
290	1434	3495
291	1439	3489
292	1444	3484
293	1448	3478
294	1453	3472
295	1458	3467
296	1462	3461
297	1467	3456
298	1472	3451
299	1476	3445
300	1481	3439
301	1485	3434
302	1490	3428
303	1495	3423
304	1500	3418
305	1504	3412
306	1509	3407
307	1514	3402
308	1518	3396
309	1523	3391
310	1528	3385
311	1532	3379
312	1537	3374
313	1542	3369
314	1547	3364
315	1551	3359
316	1556	3354
317	1561	3348
318	1566	3343
319	1570	3338
320	1575	3332
321	1580	3327
322	1584	3322
323	1589	3316
324	1594	3311
